title,company,location,link
2021 카카오 추천팀 여름 인턴 모집 (분석),카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=508965e7a92b2383&fccid=32b9af632cf3b9f9&vjs=3
"2021년도 상반기 정규직(연구, 행정) 공개",한국해양과학기술원 부설 선박해양플랜트연구소,대전 유성구,https://kr.indeed.com/rc/clk?jk=959efa0556f39f20&fccid=96ad9a9363d82eb2&vjs=3
"데이터분석, 딥러닝 외 신입 정규직, 인턴",피디에프솔루션세미컨덕터테크놀로지코리아,성남 분당구,https://kr.indeed.com/rc/clk?jk=c98be29f8b7c8352&fccid=f058eb095b8d3d23&vjs=3
2021 카카오 추천팀 여름 인턴 모집 (개발),카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=216320955c1dbb96&fccid=32b9af632cf3b9f9&vjs=3
"Research Intern, 2021",Google,서울,https://kr.indeed.com/rc/clk?jk=0c4a502533e74aac&fccid=a5b4499d9e91a5c6&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
[기술 공채] 클라우드 인프라 서비스,NHN] [기술 경력공채,성남 판교역,https://kr.indeed.com/rc/clk?jk=19302b8f7d45fbac&fccid=a72ebaf825acf7af&vjs=3
2021년 상반기 공개 [정규직/ 무기계약직/ 비정규직/ 중형선박설계사업단],한국해양과학기술원 부설 선박해양플랜트연구소,대전 유성구,https://kr.indeed.com/rc/clk?jk=7f7d386bdc47f18e&fccid=96ad9a9363d82eb2&vjs=3
[무료교육/취업코칭] 데이터 분석 프로젝트 과정 교육생 (2021년 혁신성장 청년인재 집중양성사업),SK플래닛 Tacademy,성남 분당구,https://kr.indeed.com/rc/clk?jk=fc6317c643204ee2&fccid=c29e5daceb008fd3&vjs=3
[기술 공채] 보안,NHN] [기술 경력공채,성남 판교역,https://kr.indeed.com/rc/clk?jk=4f97b00e0979e286&fccid=a72ebaf825acf7af&vjs=3
